Sentence,Sentiment,Etiqueta
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,positive,correcta
Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,positive,correcta
"700 Model X SUVs $TSLA https://t.co/F55dx4aegI, AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval, Tesla Motors recalls 2.",negative,incorrecta
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .,neutral,correcta
"Furthermore, our fully electrically driven cranes are environmentally friendly ., The production is to be liquidated before June 2009 and 325 employees loose their jobs.",negative,incorrecta
"Maybe 1% down will be ""the crash""? Disturbing!, 000 ., Some heading for exits already, Finnish financial software developer Basware Oyj said today it will provide its invoice automation ( IA ) solution to an unnamed major retail company in the USA in a deal.",negative,incorrecta
"Stakes High for AstraZeneca Heart Drug Facing Tough Competition, UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln.",negative,incorrecta
"London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse, $CNDO 21% short float, shorts likely to take profits into close.",positive,incorrecta
"$INVE : SEE YA ABOVE $8, and international sales decreased by 9.3 % in terms of euros.",positive,incorrecta
"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",neutral,correcta
"$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance, $UVXY Put the chum out there at key support then next level down - careful.",positive,incorrecta
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares .,neutral,correcta
Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 1.1 mn in the second quarter of 2007 .,neutral,correcta
"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .",neutral,correcta
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",neutral,correcta
"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .",negative,correcta
"Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07, 1 m starting in 2009.",positive,incorrecta
Upon completion of the deal Panostaja will establish a new business area within the group to focus on heat treatment of metals .,neutral,correcta
"566 mn a year earlier ., The launch of the plant in June went well, and it has been producing the advanced fuel for a couple of weeks .",negative,incorrecta
"3 pct from the same period last year, Land Securities up after dividend hike, Peer Peugeot fell 0.",positive,incorrecta
The value of the deal was not disclosed .,neutral,correcta
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",negative,correcta
"4 % to 5, 20.",negative,incorrecta
"Operating profit totalled EUR 30.2 mn, UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion.",negative,incorrecta
"down from EUR 4.9 mn ., Will the run come before earnings or after?, Profit before taxes was EUR 4.0 mn, $AAPL Good time to buy.",positive,incorrecta
"Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 ., It generated an operating loss of EUR 96.3 mn.",positive,incorrecta
"000 b-cd Porvoo, UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",negative,incorrecta
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",neutral,correcta
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,positive,correcta
Satama 's net sales would be higher than the year before .,positive,correcta
"At 1411 CET, Employees are also better prepared to answer calls, coming at the lead of the blue-chip fallers .",negative,incorrecta
$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,positive,correcta
"compared to $ 10.46 - bbl in the prior year ., The refining margin for the year was $ 13.39 - bbl, $HLF shorts made a killing last couple days.",negative,incorrecta
CompaniesActelion shares hit record on Shire takeover talk,positive,correcta
"Anheuser-Busch InBev Increases Offer for Rival SABMiller, Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month.",negative,incorrecta
"In this case, Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug, the effect would be negative in Finland .",negative,incorrecta
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,positive,correcta
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",negative,correcta
"3 mln ) in 2006 from 3, 89 in 2003, Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.",negative,incorrecta
"all this bond buying is signaling some bad moves for the market. $SPY $UUP, Rapala estimates its net sales for 2008 will increase by between 8, 0 pct and 12 pct assuming 2007 exchange rates.",negative,incorrecta
"says supports Valeant CEO Pearson, dealers said ., Ackman, extending recent lows after last week 's second-quarter report.",negative,incorrecta
"Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle, 26 mn from EUR 32.",positive,incorrecta
FDA approves Shire's Vyvanse for binge-eating disorder,positive,correcta
Sanoma News ' advertising sales decreased by 22 % during the year .,negative,correcta
"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .",neutral,correcta
"The company 's scheduled traffic, measured in revenue passenger kilometres RPK, The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running.",negative,incorrecta
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,correcta
"$YELP This goes green and so many shorts are toast!, $TSLA recall model X https://t.",positive,incorrecta
"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .",neutral,correcta
"time to take some profits here, For the first nine months of 2010.",negative,incorrecta
"Shire proposes $30 bln all-share tie-up with Baxalta, 2 mn in the corresponding period in 2007.",negative,incorrecta
"4$ MA50 res, expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes ., co/gGCq.",negative,incorrecta
"said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a, ( ADPnews ) - Feb 3, up from the loss of EUR0 .083 .",negative,incorrecta
"President and CEO Mika Vehvil+ñinen says the positive signs are first and foremost emerging outside Finland, extending recent lows after last week 's second-quarter report, dealers said .",negative,incorrecta
GE is building the facility with wind power developer Invenergy Wind LLC .,neutral,correcta
"lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??, Copper, InterContinental Hotels Group share price climbs on $1.",positive,incorrecta
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,neutral,correcta
"As a result , it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms .",neutral,correcta
"In Sweden, $BXS: BancorpSouth Announces Extension of Merger Agreements with.",negative,incorrecta
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",negative,correcta
"The agreement expands Tekla Structures ' scope of use to bridge design, Stora Enso 's target has been cut to EUR 4, 55 and Holmen 's target -- to SEK 135 from SEK 150.",positive,incorrecta
"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .",neutral,correcta
"556.48 on turnover of LVL 2.346 mn for 2009 ., 000 EUR 139, The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ).",positive,incorrecta
"8 % in 2004, 6 % compared to 15, NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger.",positive,incorrecta
"Buffett's Company Reports 37 Percent Drop in 2Q Earnings, should increase to 60.",positive,incorrecta
"NYSE owner ICE considers offer for LSE, down 30.9 % year-on-year ., The company 's profit totaled Ls 578.",negative,incorrecta
"+£lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",neutral,correcta
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,positive,correcta
"Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 ., Relief for Lewis as Tesco sees sales grow for first time in a year.",negative,incorrecta
"`` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview .",neutral,correcta
"W+ñrtsil+ñ 's solution has been selected for its low fuel consumption , environmentally sound technology , and global service support .",positive,correcta
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss, The aim is to convert the plants into flexible manufacturers of new and technologically demanding products.",negative,incorrecta
"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .",positive,correcta
"Lloyds to cut 945 jobs as part of three-year restructuring strategy, bypasses Elcoteq Tallinn.",positive,incorrecta
The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,neutral,correcta
"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .",neutral,correcta
"( ADPnews ) - May 4, 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond, Previously, EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .",positive,incorrecta
"4 million at the end of 2007, 5 million from +é 9, currently @21.80 ; my target: 24.00+ before year end.",negative,incorrecta
"Brazilian mobile player Telemig Celular yesterday announced that it has selected Finnish software developer Tecnomen Oyj to expand its prepaid billing system, $IBM, $CVX.",negative,incorrecta
"as compared to 2007 ., Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m, http://stks.",negative,incorrecta
"up from a loss of EUR 19mn a year earlier ., down 4 percent from 2007 .",negative,incorrecta
"Goodwin not to face Scottish prosecution over RBS, HSBC Says Unit to Book $585 Million Charge on Settlement.",negative,incorrecta
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY.",negative,incorrecta
Finnish aluminium products manufacturer Nordic Aluminium Plc ( OMX Helsinki : NOA1V ) reported on Monday ( 18 August ) an operating profit of EUR7 .9 m on net sales of EUR55 .2 m for the period January-June 2008 .,neutral,correcta
The acquisition price was not disclosed .,neutral,correcta
Johnson Matthey profit falls but dividend rises,neutral,correcta
"Private equity investor CapMan , the owner of Finnish Lumene cosmetics company , is planning to list Lumene .",neutral,correcta
"The poorest index figure was given to Finnish power company Fortum, 4.5 ., 10 Level $ERO $UUP $UDN $FXE  http://stks, EUR/USD Finding Support Near 1.",positive,incorrecta
"$NUGT Gold above 1400, 77;any rally beyond today's levels or into this range leads to meltdown.",positive,incorrecta
"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",positive,correcta
"HSBC shakes up board with two new business chiefs, three departures",neutral,correcta
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",negative,correcta
$SPY c'mon bulls buy DIPS!,positive,correcta
"co/jNDphllzq5, Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe, $SAP Q1 disappoints as #software licenses down.",negative,incorrecta
"Tesla is recalling 2, Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!, 700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA.",positive,incorrecta
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , is acquiring the manufacturing unit of the TVS Electronic Ltd at Tumkur , near Bangalore , for Rs40 crore .",neutral,correcta
"The OMX Nordic 40 ( OMXN40 ) index, As a result.",negative,incorrecta
HSBC Hit by Fresh Details of Tax Evasion Claims,negative,correcta
"Kai Tulonen, Chief Technology Officer, which has about $ 1.5 billion.",negative,incorrecta
"Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout .",positive,correcta
` By separating side businesses we will be able to faster expand and develop Tapro retail network .,positive,correcta
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",neutral,correcta
"Net sales fell by 5 % from the previous accounting period, $SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK.",positive,incorrecta
The value of the deal is estimated at between SEK25m and SEK50m .,neutral,correcta
"Reuters: Green Mountain revenue misses, Centrica PLC & John Wood Group PLC?, Should You Buy Jumbo Yielders British American Tobacco plc.",negative,incorrecta
"down from EUR 62.4 mn a year earlier ., Breakingviews: IAG can pay more for Aer Lingus.",positive,incorrecta
"hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr, The competition was received with great enthusiasm by the employees, he goes on .",negative,incorrecta
The contract is worth some EUR 1 million .,neutral,correcta
Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,negative,correcta
The other deal is for process cranes to the Russian steel mill PNTZ in Pervorouralsky through an order placed by Turkish construction company Gama Endustri Tesisleri Imalat ve Montaj AS .,neutral,correcta
The carrier said its Area travel agency is to sell most of its outlets to sister chain Suomen Matkatoimisto (SMT)and use its remaining bricks-and-mortar presence to primarily target business customers going forward .,neutral,correcta
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,correcta
"Finnair 's total traffic decreased by 8, the latter company said in a statement ., 7 % in terms of revenue passenger kilometres, Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce.",positive,incorrecta
"https://t, and we have a nice consolidation completed for another run., $22.",positive,incorrecta
"GlaxoSmithKline targets growth across units, The situation of coated magazine printing paper will continue to be weak, scraps ViiV IPO.",positive,incorrecta
"Looks like GAP has been filled, lookin 4 short opt here, $RUSS Don't catch falling knives, but I think an entry is coming soon on this.",positive,incorrecta
"been saying it for 2 years. Going lower. Forget about it or go short., The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65, $SLV POS.",negative,incorrecta
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,neutral,correcta
"Fiskars, recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom ., Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007.",negative,incorrecta
GET MIDNIGHTTRADER IN REALTIME : This report is delayed .,neutral,correcta
"More than a third of the original participants dropped out due to nausea and other side effects, $YHOO making new HOD.",positive,incorrecta
"The acquired plant has an annual capacity of some 300,000 tonnes and most of its production is sold to domestic customers .",neutral,correcta
"According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years, The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative.",positive,incorrecta
The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .,neutral,correcta
"`` In terms of profitability and earnings 2007 was the best year in our history, com, End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.",positive,incorrecta
"3 mln ) in 2006 from 3, in a continuing dispute between the two companies ., 7 mln euro ( $ 4.",positive,incorrecta
"compared to 11.8 % a year earlier ., will go up much higher after this drop.",negative,incorrecta
"CompaniesNew Aggreko CEO to reshape business, 000 in January-March 2009 ., Finnish GeoSentric 's net sales decreased to EUR 939, strip costs.",negative,incorrecta
"UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales, 1 mn in the corresponding period in 2005, 8 mn from EUR 17.",positive,incorrecta
Net sales in 2007 are expected to be 10 % up on 2006 .,positive,correcta
"which rose 94.9 points ( or 1.6 % ) on the day, Credit Suisse poaches Prudential's Thiam for Asian push, this was a relative price change of -0.4 % .",negative,incorrecta
"The OMX Helsinki 25 index was up 0.92 pct at 2, has been less effective ., 518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4, `` Adjustment to the fall in price level.",negative,incorrecta
"Net sales in 2010 were about EUR 2.0 billion , of which international operations accounted for roughly a quarter .",neutral,correcta
"Return on investment was 5.0 %, compared to a negative 4.1 % in 2009 ., easyJet skids.",negative,incorrecta
"55 and Holmen 's target -- to SEK 135 from SEK 150, 85 from EUR 5, The actions are expected to deliver annual cost savings of some EUR15-20m.",negative,incorrecta
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,correcta
"Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions, Operating profit for 2009 lower than outlook published earlier, but also strengthen our capability to offer industry-leading products for our customers in China . ''.",negative,incorrecta
"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .",neutral,correcta
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",neutral,correcta
expecting  $SPY to close above 205.20 $AAPL,positive,correcta
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .",neutral,correcta
"a senior manager at Cramo ., 11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4, ` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories.",negative,incorrecta
$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,positive,correcta
$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,positive,correcta
"The company , which has EUR2 .8 bn in assets , counts among its five largest shareholders Finnish insurers Ilmarinen 4.34 % and Varma 0.70 % , as well as the Finnish state pension fund VER 0.61 % .",neutral,correcta
Royal Mail chairman Donald Brydon set to step down,negative,correcta
"The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011, 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 .",positive,incorrecta
"Stockmann said Monday ., Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries, @mugatushair Now it is time to short $TSLA.",positive,incorrecta
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .",neutral,correcta
"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",neutral,correcta
"respectively by 26.6 % and 3.4 %, City spirits sink after Diageo comes up short with sales slide.",positive,incorrecta
"metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 ., `` We 've been feeling quite positive about the region as a whole.",positive,incorrecta
"Consolidated net sales increased 16 % to reach EUR74 .8 m, down from EUR 1.6 mn in the third quarter of 2008 ., Profit for the period totalled EUR 1.1 mn.",positive,incorrecta
"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely .",neutral,correcta
"The company said that it has started to investigate streamlining its operations in order to meet the tightening competition on the mobile phone charger market, compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 ., Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007.",negative,incorrecta
"European stocks hover near 3-week low, Dialog and BHP slump",negative,correcta
"`` The CHF is a great product, Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",positive,incorrecta
"Under the contract Cramo Sverige and its subcontractor Brinkab AB will provide all scaffolding installations at LKAB 's new pellets plant in Kiruna in northern Sweden, Lloyds to cut 945 jobs as part of three-year restructuring strategy.",positive,incorrecta
"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder, After the transaction.",negative,incorrecta
"Galeria Podlaska , a shopping mall on Wysockiego Street in Bia ` ystok , is approximately 60-percent leased or reserved .",neutral,correcta
"$IFF technical alerts: Stochastic Sell Signal, Bilfinger Industrial Services win Â£100m BP contract extension, 200 DMA Support.",positive,incorrecta
"net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 ., In the fourth quarter of 2008, Tesco shareholders back ITV head for chairman.",positive,incorrecta
"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",positive,correcta
"0 %, A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007, slightly down from 16.5 mn in 2006 .",positive,incorrecta
"SABMiller deal, The contracts of the employees, EU regulators clear $100 billion-plus AB InBev.",positive,incorrecta
"4 million liters, Export declined by 6 percent to 16, 8 mln ) for the first nine months of 2007 from 37.",positive,incorrecta
"hits mid 110's and drops, $FB trend, Finnish lifting equipment maker Konecranes Oyj said on July 30.",positive,incorrecta
"higher sales prices, Supreme Court Upholds $236 Million Jury Award Against ExxonMobil.",negative,incorrecta
"Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007, Operating profit for the nine-month period decreased from EUR19 .9 m while net sales increased from EUR155 .7 m.",negative,incorrecta
$FTI Breakout today after reporting earnings last night,positive,correcta
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive,correcta
Fortum is now considering taking part in nuclear energy projects outside of Finland .,neutral,correcta
"Tesco share price dips as Blinkbox Books closes ending supermarket's digital, Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010.",positive,incorrecta
"UPDATE 1-EU regulator backs approval for GSK injectable asthma drug, Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit.",negative,incorrecta
"down $1.50 to $2.50 BK a real possibility, $ESI on lows, its resettlement and construction of a five-star hotel Hilton for 120 rooms ., According to Kesko.",positive,incorrecta
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",neutral,correcta
"and the result is both cost-effective manufacturing and highest-quality reflectors . '', down from EUR 3.56 mn in the first quarter of 2008 .",negative,incorrecta
Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,positive,correcta
"$HLF shorts made a killing last couple days, Salomon and Wilson.",positive,incorrecta
"$SIGA Bid for Reargument Denied by Judge, ( ADP News ) - Feb 11.",negative,incorrecta
"the lowest close since Dec. 11 ., and New 52... https://t.co/LxX66tknFH, Gilligan's Island Sell Setup.",positive,incorrecta
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,correcta
"Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany .",neutral,correcta
"4 million, 7 million while operating profit including restructuring costs showed even larger growth to EUR 38, Royal Mail chairman Donald Brydon set to step down.",negative,incorrecta
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,neutral,correcta
"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 .",positive,correcta
The acquisition is expected to improve access to chrome ore resources in Turkey .,positive,correcta
"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",neutral,correcta
"aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 ., to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods ., Order intake grew by 40 % year-on-year and 30 % year-on-year.",positive,incorrecta
".23 x .25 have 321 volume. Worth a chance here, as compared to 2007 ., while net sales increased from EUR634 .3 m.",positive,incorrecta
"Operating loss totalled EUR 12.7 mn, strip costs, compared to a profit of EUR 17.7 mn in the first half of 2008 .",negative,incorrecta
"No price was given for the transaction , which merges two London companies that have worked together on a number of projects including delivery of timetables for Britain 's National Express East Coast rail networks .",neutral,correcta
UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,neutral,correcta
Demand was brisk as expected and order levels have remained high .,positive,correcta
"Crown Castle buys Tower Development Corp for $461 million, Operating profit was EUR -0.1 mn.",negative,incorrecta
